concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
10, 72.5, 103, 134.19, 415, 150.6, 394.4, 413.56, 134.19, 415, 145, 0, 0, 0, 0, 0, 145
20, 139.0, 104, 139.2, 200, 177.3, 184.0, 192.15, 139.2, 200, 278, 0, 0, 0, 0, 0, 278
30, 202.5, 102, 144.03, 333, 192.6, 222.0, 300.28, 144.03, 333, 405, 0, 0, 0, 0, 0, 405
40, 262.5, 102, 147.3, 299, 191.2, 220.2, 285.84, 147.3, 299, 525, 0, 0, 0, 0, 0, 525
50, 365.0, 103, 133.02, 235, 171.1, 202.0, 222.71, 133.02, 235, 730, 0, 0, 0, 0, 0, 730
60, 415.5, 104, 139.49, 342, 159.0, 180.0, 214.0, 139.49, 342, 831, 0, 0, 0, 0, 0, 831
70, 426.0, 103, 157.45, 416, 212.0, 252.45, 314.47, 157.45, 416, 852, 0, 0, 0, 0, 10, 862
80, 468.0, 104, 163.57, 243, 193.0, 203.0, 236.0, 163.57, 243, 936, 0, 0, 0, 0, 4, 940
90, 479.0, 104, 177.7, 635, 242.3, 289.3, 619.43, 177.7, 635, 958, 0, 0, 0, 0, 6, 964
100, 536.5, 104, 176.63, 331, 216.0, 230.0, 322.0, 176.63, 331, 1073, 0, 0, 0, 0, 10, 1083
110, 576.5, 103, 178.05, 308, 222.0, 255.0, 278.96, 178.05, 308, 1153, 0, 0, 0, 0, 10, 1163
120, 535.5, 104, 210.05, 359, 298.0, 309.0, 331.3, 210.05, 359, 1071, 0, 0, 0, 0, 5, 1076
130, 579.5, 102, 209.36, 482, 286.0, 317.0, 476.42, 209.36, 482, 1159, 0, 0, 0, 0, 5, 1164
140, 579.5, 105, 227.81, 399, 294.0, 317.0, 396.0, 227.81, 399, 1159, 0, 0, 0, 0, 10, 1169
150, 623.0, 102, 219.47, 573, 324.0, 401.0, 532.0, 219.47, 573, 1246, 0, 0, 0, 0, 6, 1252
160, 757.5, 104, 201.96, 326, 255.0, 269.0, 307.0, 201.96, 326, 1515, 0, 0, 0, 0, 9, 1524
170, 743.5, 103, 221.94, 769, 290.4, 374.7, 755.0, 221.94, 769, 1487, 0, 0, 0, 0, 14, 1501
180, 730.5, 105, 231.07, 417, 338.0, 361.0, 400.8, 231.07, 417, 1461, 0, 0, 0, 0, 13, 1474
190, 614.5, 113, 253.63, 926, 390.2, 527.6, 918.44, 253.63, 926, 1229, 0, 0, 0, 0, 12, 1241
200, 843.5, 105, 226.21, 628, 337.0, 452.8, 561.0, 226.21, 628, 1687, 0, 0, 0, 0, 19, 1706
