concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
10, 211.0, 12, 46.86, 352, 62.9, 70.0, 338.58, 46.86, 352, 422, 0, 0, 0, 0, 0, 422
20, 341.5, 12, 57.77, 137, 88.0, 96.0, 107.36, 57.77, 137, 683, 0, 0, 0, 0, 0, 683
30, 522.5, 11, 56.1, 149, 89.0, 98.0, 115.56, 56.1, 149, 1045, 0, 0, 0, 0, 0, 1045
40, 633.0, 11, 61.83, 177, 100.0, 111.0, 128.0, 61.83, 177, 1266, 0, 0, 0, 0, 0, 1266
50, 830.5, 12, 58.93, 166, 93.0, 103.0, 116.4, 58.93, 166, 1661, 0, 0, 0, 0, 0, 1661
60, 847.5, 12, 69.75, 141, 102.0, 109.0, 124.0, 69.75, 141, 1695, 0, 0, 0, 0, 0, 1695
70, 862.5, 14, 79.4, 198, 118.0, 124.8, 148.0, 79.4, 198, 1725, 0, 0, 0, 0, 0, 1725
80, 908.5, 13, 85.93, 189, 128.0, 140.0, 165.0, 85.93, 189, 1817, 0, 0, 0, 0, 0, 1817
90, 968.0, 13, 90.82, 175, 126.5, 140.0, 159.65, 90.82, 175, 1936, 0, 0, 0, 0, 0, 1936
100, 1018.0, 14, 95.3, 179, 136.0, 147.0, 161.0, 95.3, 179, 2036, 0, 0, 0, 0, 0, 2036
110, 1060.5, 17, 99.97, 179, 136.0, 146.0, 163.8, 99.97, 179, 2121, 0, 0, 0, 0, 0, 2121
120, 1094.5, 17, 106.71, 228, 143.0, 152.0, 182.0, 106.71, 228, 2189, 0, 0, 0, 0, 0, 2189
130, 1034.0, 22, 121.47, 312, 171.0, 222.65, 291.33, 121.47, 312, 2068, 0, 0, 0, 0, 0, 2068
140, 1167.5, 21, 115.96, 241, 153.0, 169.0, 201.0, 115.96, 241, 2335, 0, 0, 0, 0, 0, 2335
150, 1151.5, 23, 124.32, 278, 174.0, 188.0, 238.98, 124.32, 278, 2303, 0, 0, 0, 0, 0, 2303
160, 1199.5, 22, 128.12, 275, 177.0, 202.0, 228.04, 128.12, 275, 2399, 0, 0, 0, 0, 0, 2399
170, 1197.0, 15, 136.61, 322, 193.0, 236.0, 292.07, 136.61, 322, 2394, 0, 0, 0, 0, 0, 2394
180, 1294.5, 19, 134.51, 285, 193.0, 216.0, 250.0, 134.51, 285, 2589, 0, 0, 0, 0, 0, 2589
190, 1270.0, 29, 141.69, 319, 201.0, 232.0, 286.0, 141.69, 319, 2540, 0, 0, 0, 0, 0, 2540
200, 1372.0, 36, 140.56, 333, 201.0, 259.0, 298.28, 140.56, 333, 2744, 0, 0, 0, 0, 0, 2744
